,journal_number,journal_name,journal_name_in_foreign_language_1,journal_name_in_foreign_language_2,journal_name_in_foreign_language_3,scopus_sources,SNIP,CiteScore,SJR,quartile_in_caterory,IF,AIF,quartile_in_caterory_2,if_info_years,InCites_JCR,final_index
124,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
125,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
126,5,The Baltic journal of road and bridge engineering,,,,2010,0.61,,0.83,,2.436,1.482,Q1,2010,SCIE,74.0
127,5,The Baltic journal of road and bridge engineering,,,,2010,0.61,,0.83,,2.436,1.482,Q1,2010,SCIE,74.0
128,5,The Baltic journal of road and bridge engineering,,,,2010,0.61,,0.83,,2.436,1.482,Q1,2010,SCIE,74.0
129,5,The Baltic journal of road and bridge engineering,,,,2010,0.61,,0.83,,2.436,1.482,Q1,2010,SCIE,74.0
130,5,The Baltic journal of road and bridge engineering,,,,2010,0.61,,0.83,,2.436,1.482,Q1,2010,SCIE,74.0
131,18,Journal of environmental engineering and landscape management,,,,2010,1.062,,0.44,,1.333,2.496,Q3,2010,SCIE,94.0
132,18,Journal of environmental engineering and landscape management,,,,2010,1.062,,0.44,,1.333,2.496,Q3,2010,SCIE,94.0
133,18,Journal of environmental engineering and landscape management,,,,2010,1.062,,0.44,,1.333,2.496,Q3,2010,SCIE,94.0
134,18,Journal of environmental engineering and landscape management,,,,2010,1.062,,0.44,,1.333,2.496,Q3,2010,SCIE,94.0
135,19,Automation in construction: an international research journal,,,,2010,1.674,,0.8,,1.311,1.239,Q1,2010,SCIE,66.0
136,9,Transformations in business & economics,,,,2010,0.658,,0.56,,1.67,1.393,Q1,2010,SSCI,448.0
137,31,Chemical and Process Engineering= Inzynieria Chemiczna i Procesowa,,,,2010,0.358,,0.26,,0.252,1.888,Q4,2010,SCIE,88.0
138,126,Jaunųjų mokslininkų darbai,Journal of young scientists,,,,,,,,,,,,,255.0
139,,Mechanika,,,,2010,1.022,,0.27,,1.144,1.438,Q2,2010,SCIE,126.0
140,,Mechanika,,,,2010,1.022,,0.27,,1.144,1.438,Q2,2010,SCIE,126.0
141,,Mechanika,,,,2010,1.022,,0.27,,1.144,1.438,Q2,2010,SCIE,126.0
142,,Mechanika,,,,2010,1.022,,0.27,,1.144,1.438,Q2,2010,SCIE,126.0
143,,Mechanika,,,,2010,1.022,,0.27,,1.144,1.438,Q2,2010,SCIE,126.0
144,11,Journal of business economics and management,,,,2010,1.15,,1.19,,3.866,1.393,Q1,2010,SSCI,870.0
145,11,Journal of business economics and management,,,,2010,1.15,,1.19,,3.866,1.393,Q1,2010,SSCI,870.0
146,11,Journal of business economics and management,,,,2010,1.15,,1.19,,3.866,1.393,Q1,2010,SSCI,870.0
147,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
148,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
149,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
150,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
151,83,Russian Journal of Applied Chemistry,,,,2010,0.138,,0.13,,0.262,2.178,Q4,2010,SCIE,1166.0
152,,"3rd international conference on Scientific Aspects of Unmanned Aerial Vehicle(SAUAV): conference proceedings. Suchedniów, 5-7 May 2010",,,,,,,,,,,,,,488.0
153,,Kultūros barai: kultūros ir meno mėnesinis žurnalas,,,,,,,,,,,,,,312.0
154,,Kultūros barai: kultūros ir meno mėnesinis žurnalas,,,,,,,,,,,,,,312.0
155,15,Mathematical modelling and analysis: the Baltic journal merical analysis and differential equations,,,,2010,0.584,,0.33,,0.685,0.735,Q2,2010,SCIE,345.0
156,15,Mathematical modelling and analysis: the Baltic journal merical analysis and differential equations,,,,2010,0.584,,0.33,,0.685,0.735,Q2,2010,SCIE,345.0
157,,HOST: mésíčník pro literaturu a čtenáře,,,,,,,,,,,,,,731.0
158,21,Filosofija. Sociologija,,,,2010,0.0,,0.34,,0.179,0.923,Q4,2010,SSCI,191.0
159,21,Filosofija. Sociologija,,,,2010,0.0,,0.34,,0.179,0.923,Q4,2010,SSCI,191.0
160,50,Lithuanian mathematical journal,,,,2010,0.603,,0.3,,0.486,0.735,Q3,2010,SCIE,332.0
161,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
162,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
163,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
164,,Elektronika ir elektrotechnika,,,,2010,0.33,,0.21,,0.659,1.462,Q3,2010,SCIE,164.0
165,21,Filosofija. Sociologija,,,,2010,0.0,,0.34,,0.179,0.923,Q4,2010,SSCI,191.0
166,21,Filosofija. Sociologija,,,,2010,0.0,,0.34,,0.179,0.923,Q4,2010,SSCI,191.0
167,42,Energy and buildings,,,,2010,2.084,,1.72,,2.046,1.754,Q1,2010,SCIE,677.0
168,19,Journal of Circuits Systems and Computers,,,,2010,0.338,,0.19,,0.215,1.317,Q4,2010,SCIE,850.0
169,3,Limes: cultural regionalistics,,,,,,,,,,,,,,989.0
170,3,Limes: cultural regionalistics,,,,,,,,,,,,,,989.0
171,11,Verslas: teorija ir praktika,,,,2010,0.63,,0.36,,,,,,,1298.0
172,11,Verslas: teorija ir praktika,,,,2010,0.63,,0.36,,,,,,,1298.0
173,11,Verslas: teorija ir praktika,,,,2010,0.63,,0.36,,,,,,,1298.0
174,11,Verslas: teorija ir praktika,,,,2010,0.63,,0.36,,,,,,,1298.0
175,11,Verslas: teorija ir praktika,,,,2010,0.63,,0.36,,,,,,,1298.0
176,11,Verslas: teorija ir praktika,,,,2010,0.63,,0.36,,,,,,,1298.0
177,11,Verslas: teorija ir praktika,,,,2010,0.63,,0.36,,,,,,,1298.0
178,11,Verslas: teorija ir praktika,,,,2010,0.63,,0.36,,,,,,,1298.0
179,18,Santalka. Filologija. Edukologija,,,,,,,,,,,,,,416.0
180,18,Santalka. Filologija. Edukologija,,,,,,,,,,,,,,416.0
181,18,Santalka. Filologija. Edukologija,,,,,,,,,,,,,,416.0
182,18,Santalka. Filologija. Edukologija,,,,,,,,,,,,,,416.0
183,18,Santalka. Filologija. Edukologija,,,,,,,,,,,,,,416.0
184,18,Santalka. Filosofija,,,,,,,,,,,,,,416.0
185,18,Santalka. Filologija. Edukologija,,,,,,,,,,,,,,416.0
186,18,Santalka. Filologija. Edukologija,,,,,,,,,,,,,,416.0
187,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
188,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
189,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
190,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
191,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
192,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
193,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
194,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
195,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
196,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
197,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
198,2,Mokslas - Lietuvos ateitis. Verslas XXI amžiuje,Science - future of Lithuania. Business in XXI century,,,,,,,,,,,,,0.0
199,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
200,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
201,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: Verslas XXI amžiuje,Business in XXI Century,,,,,,,,,,,,0.0
202,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: K. Šešelgio skaitymai – 2010,K. Šešelgis Readings - 2010,,,,,,,,,,,,0.0
203,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: K. Šešelgio skaitymai – 2010,K. Šešelgis Readings - 2010,,,,,,,,,,,,0.0
204,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: K. Šešelgio skaitymai – 2010,K. Šešelgis Readings - 2010,,,,,,,,,,,,0.0
205,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: K. Šešelgio skaitymai – 2010,K. Šešelgis Readings - 2010,,,,,,,,,,,,0.0
206,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: K. Šešelgio skaitymai – 2010,K. Šešelgis Readings - 2010,,,,,,,,,,,,0.0
207,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: K. Šešelgio skaitymai – 2010,K. Šešelgis Readings - 2010,,,,,,,,,,,,0.0
208,2,Mokslas – Lietuvos ateitis,Science – future of Lithuania: K. Šešelgio skaitymai – 2010,K. Šešelgis Readings - 2010,,,,,,,,,,,,0.0
209,16,Technological and economic development of economy: Baltic journal on sustainbility,,,,2010,0.92,,1.55,,5.605,1.188,Q1,2010,SSCI,443.0
210,16,Technological and economic development of economy: Baltic journal on sustainbility,,,,2010,0.92,,1.55,,5.605,1.188,Q1,2010,SSCI,443.0
211,16,Technological and economic development of economy: Baltic journal on sustainbility,,,,2010,0.92,,1.55,,5.605,1.188,Q1,2010,SSCI,443.0
212,16,Technological and economic development of economy: Baltic journal on sustainbility,,,,2010,0.92,,1.55,,5.605,1.188,Q1,2010,SSCI,443.0
213,16,Technological and economic development of economy: Baltic journal on sustainbility,,,,2010,0.92,,1.55,,5.605,1.188,Q1,2010,SSCI,443.0
214,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
215,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
216,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
217,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
218,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
219,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
220,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
221,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
222,16,Journal of civil engineering and management: international research and achievements,,,,2010,1.622,,1.37,,3.711,1.482,Q1,2010,SCIE,258.0
223,56,Energetika: ologija,,,,2010,0.369,,0.2,,,,,,,34.0
224,5,The Baltic journal of road and bridge engineering,,,,2010,0.61,,0.83,,2.436,1.482,Q1,2010,SCIE,74.0
225,5,The Baltic journal of road and bridge engineering,,,,2010,0.61,,0.83,,2.436,1.482,Q1,2010,SCIE,74.0
226,5,The Baltic journal of road and bridge engineering,,,,2010,0.61,,0.83,,2.436,1.482,Q1,2010,SCIE,74.0
227,5,The Baltic journal of road and bridge engineering,,,,2010,0.61,,0.83,,2.436,1.482,Q1,2010,SCIE,74.0
228,5,The Baltic journal of road and bridge engineering,,,,2010,0.61,,0.83,,2.436,1.482,Q1,2010,SCIE,74.0
229,107,Journal of Applied Physics,,,,2010,1.186,,1.48,,2.079,2.56,Q2,2010,SCIE,256.0
230,,Инженерно-строительный журнал,Magazine of civil engineering,,,,,,,,,,,,,1375.0
231,,Eurozine [www.eurozine.com]: the netmagazine,,,,,,,,,,,,,,700.0
232,,Kultūrų dialogas ir asmenybė,Cultural dialogue and personality: mokslinių straipsnių rinkinys,,,,,,,,,,,,,959.0
233,56,Lituanus: the Lithuanian quartely,,,,,,,,,,,,,,333.0
234,6,International journal of logistics systems and management,,,,2010,1.106,,0.36,,,,,,,810.0
235,25,Transport,,,,2010,0.816,,0.51,,,,,,,62.0
236,25,Transport,,,,2010,0.816,,0.51,,,,,,,62.0
237,25,Transport,,,,2010,0.816,,0.51,,,,,,,62.0
238,25,Transport,,,,2010,0.816,,0.51,,,,,,,62.0
239,25,Transport,,,,2010,0.816,,0.51,,,,,,,62.0
240,18,Journal of environmental engineering and landscape management,,,,2010,1.062,,0.44,,1.333,2.496,Q3,2010,SCIE,94.0
241,18,Journal of environmental engineering and landscape management,,,,2010,1.062,,0.44,,1.333,2.496,Q3,2010,SCIE,94.0
242,18,Journal of environmental engineering and landscape management,,,,2010,1.062,,0.44,,1.333,2.496,Q3,2010,SCIE,94.0
243,18,Journal of environmental engineering and landscape management,,,,2010,1.062,,0.44,,1.333,2.496,Q3,2010,SCIE,94.0
244,11,Journal of business economics and management,,,,2010,1.15,,1.19,,3.866,1.393,Q1,2010,SSCI,870.0
245,11,Journal of business economics and management,,,,2010,1.15,,1.19,,3.866,1.393,Q1,2010,SSCI,870.0
246,11,Journal of business economics and management,,,,2010,1.15,,1.19,,3.866,1.393,Q1,2010,SSCI,870.0
247,11,Journal of business economics and management,,,,2010,1.15,,1.19,,3.866,1.393,Q1,2010,SSCI,870.0
248,11,Journal of business economics and management,,,,2010,1.15,,1.19,,3.866,1.393,Q1,2010,SSCI,870.0
249,2,Statybinės konstrukcijos ir technologijos,Engineering structures and technologies,,,,,,,,,,,,,1214.0
250,2,Statybinės konstrukcijos ir technologijos,Engineering structures and technologies,,,,,,,,,,,,,1214.0
